alpha,res
0,0.12858063494126423
0.1,0.127886141840518
0.2,0.12785110835707295
0.3,0.127819945396954
0.4,0.1277921177007464
0.5,0.12776719992973284
0.6,0.1277448452437635
0.7,0.12772476505758396
0.8,0.12770671541282094
0.9,0.12769048744671785
1,0.12767590050134098
1.1,0.12766279699633235
1.2,0.12765103851763332
1.3,0.12764050276887046
1.4,0.12763108115059155
1.5,0.12762267680700756
1.6,0.12761520302801027
1.7,0.1276085819261284
1.8,0.1276027433297085
1.9,0.12759762384859305
2,0.12759316607917548
2.1,0.12758931792334288
2.2,0.12758603200141624
2.3,0.12758326514335733
2.4,0.1275809779456743
2.5,0.1275791343838549
2.6,0.1275777014720363
2.7,0.12757664896308923
2.8,0.12757594908345285
2.9,0.12757557629799327
3,0.12757550710091203
3.1,0.1275757198293454
3.2,0.12757619449679278
3.3,0.12757691264394333
3.4,0.12757785720479742
3.5,0.12757901238628677
3.6,0.12758036355982846
3.7,0.12758189716346238
3.8,0.12758360061339483
3.9,0.1275854622239117
4,0.1275874711347697
4.1,0.12758961724526566
4.2,0.12759189115429376
4.3,0.1275942841057716
4.4,0.127596787938892
4.5,0.12759939504272066
4.6,0.12760209831471198
4.7,0.12760489112275814
4.8,0.12760776727043768
4.9,0.12761072096515846
5,0.12761374678892656
5.1,0.1276168396714903
5.2,0.12761999486565465
5.3,0.12762320792456258
5.4,0.12762647468076666
5.5,0.12762979122693913
5.6,0.12763315389807106
5.7,0.12763655925503584
5.8,0.12764000406939843
5.9,0.12764348530936778
6,0.12764700012679067
6.1,0.12765054584511074
6.2,0.12765411994819836
6.3,0.12765772006999943
6.4,0.12766134398491966
6.5,0.12766498959889616
6.6,0.12766865494109952
6.7,0.12767233815621376
6.8,0.12767603749725573
6.9,0.127679751318884
7,0.12768347807116884
7.1,0.1276872162937811
7.2,0.12769096461057355
7.3,0.1276947217245202
7.4,0.12769848641299672
7.5,0.12770225752336253
7.6,0.12770603396883728
7.7,0.12770981472464157
7.8,0.12771359882438574
7.9,0.12771738535668853
8,0.12772117346201023
8.1,0.12772496232968633
8.2,0.12772875119514365
8.3,0.12773253933729134
8.4,0.12773632607607124
8.5,0.12774011077016056
8.6,0.12774389281481063
8.7,0.12774767163981834
8.8,0.12775144670761973
8.9,0.12775521751149713
9,0.12775898357389026
9.1,0.12776274444481203
9.2,0.12776649970034987
9.3,0.12777024894126082
9.4,0.12777399179164542
9.5,0.127777727897697
9.6,0.12778145692652354
9.7,0.1277851785650364
9.8,0.12778889251890332
9.9,0.1277925985115569
10,0.12779629628326178
